Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,Unnamed: 0,distance,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Inwoneraantal,"Groot, middelgroot en klein",Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
786,GRAVE,30,NOORD-BRABANT,210730.0,454950.0,7824.0,9.763948405334231,VOLKEL,37.2,3.7,,,ROOD,2263.0,8970.0
518,'S-GRAVENHAGE,28,ZUID-HOLLAND,1344290.0,3002430.0,5482.0,11.458084225988388,VOORSCHOTEN,,,532561.0,Groot,NO DATA,29805.0,76786.0
14,GRONINGEN,20,GRONINGEN,1195430.0,2297760.0,136.0,10.713731633452534,EELDE,   35.6,4.2,229962.0,Groot,GEEL,39344.0,115059.0
1729,GULPEN-WITTEM,31,LIMBURG,395740.0,748790.0,10571.0,15.048113936689038,MAASTRICHT,36.1,4.2,,,GEEL,3206.0,12506.0
158,HAAKSBERGEN,23,OVERIJSSEL,388070.0,824750.0,1442.0,11.667267732573189,HUPSEL,   36.3,3.4,,,WIT,4487.0,16233.0
788,HAAREN,30,NOORD-BRABANT,193410.0,419180.0,7834.0,21.574571476511583,GILZE-RIJEN,36.9,3.7,,,ORANJE,2948.0,11910.0
392,HAARLEM,27,NOORD-HOLLAND,1038760.0,2095650.0,4127.0,12.374101786198189,SCHIPHOL,37.7,5.0,159709.0,Groot,NO DATA,14269.0,38835.0
394,HAARLEMMERMEER,27,NOORD-HOLLAND,1072340.0,2420350.0,4179.0,8.54164615903554,SCHIPHOL,37.7,5.0,153149.0,Groot,NO DATA,27774.0,84633.0
1655,HALDERBERGE,30,NOORD-BRABANT,258310.0,572160.0,9706.0,28.93532140572045,GILZE-RIJEN,36.9,3.7,,,GEEL,5562.0,20569.0
160,HARDENBERG,23,OVERIJSSEL,934010.0,1995920.0,1466.0,18.41624917221253,HOOGEVEEN,36.3,4.0,60539.0,Middelgroot,ROOD,11928.0,48567.0
243,HARDERWIJK,25,GELDERLAND,641060.0,1380970.0,2328.0,15.35403275797571,LELYSTAD,37.6,4.4,46832.0,Klein,NO DATA,7587.0,23408.0
523,HARDINXVELD-GIESSENDAM,28,ZUID-HOLLAND,58010.0,137630.0,5488.0,16.09463737270554,CABAUW,      -,4.3,,,NO DATA,4170.0,11022.0
72,HARLINGEN,21,FRIESLAND,140880.0,254500.0,741.0,21.358375423786445,LEEUWARDEN,38.0,4.7,,,NO DATA,7275.0,20091.0
244,HATTEM,25,GELDERLAND,144030.0,259340.0,2356.0,27.13753414432823,MARKNESSE,38.2,4.2,,,NO DATA,2187.0,7694.0
396,HEEMSKERK,27,NOORD-HOLLAND,400770.0,867460.0,4231.0,22.39404108840171,SCHIPHOL,37.7,5.0,39146.0,Klein,NO DATA,7531.0,23785.0
397,HEEMSTEDE,27,NOORD-HOLLAND,239170.0,439090.0,4257.0,12.24876174917908,SCHIPHOL,37.7,5.0,,,NO DATA,3099.0,8644.0
246,HEERDE,25,GELDERLAND,164470.0,323970.0,2382.0,35.600961208493,MARKNESSE,38.2,4.2,,,NO DATA,3457.0,13341.0
74,HEERENVEEN,21,FRIESLAND,369330.0,703280.0,767.0,31.836894164813547,LEEUWARDEN,38.0,4.7,50192.0,Middelgroot,NO DATA,12123.0,42175.0
398,HEERHUGOWAARD,27,NOORD-HOLLAND,445260.0,1163620.0,4265.0,9.719580586758378,BERKHOUT,   38.6,,55850.0,Middelgroot,NO DATA,15886.0,48343.0
917,HEERLEN,31,LIMBURG,787740.0,1640560.0,8933.0,14.688493426840038,MAASTRICHT,36.1,4.2,86762.0,Middelgroot,WIT,14637.0,51453.0
1658,HEEZE-LEENDE,30,NOORD-BRABANT,164670.0,348180.0,9731.0,16.62416153721738,EINDHOVEN,36.9,3.8,,,ROOD,3289.0,14170.0
399,HEILOO,27,NOORD-HOLLAND,295130.0,546490.0,4291.0,18.83026329188159,BERKHOUT,   38.6,,,,NO DATA,6020.0,18089.0
400,DEN HELDER,27,NOORD-HOLLAND,552920.0,1080000.0,4321.0,0.9602231221934312,DE KOOY,,,55760.0,Middelgroot,NO DATA,9942.0,26074.0
163,HELLENDOORN,23,OVERIJSSEL,508350.0,1033360.0,1503.0,31.515796929771533,TWENTHE,35.7,3.5,35796.0,Klein,ORANJE,6410.0,26443.0
530,HELLEVOETSLUIS,28,ZUID-HOLLAND,362290.0,1022550.0,5530.0,25.12673928843029,ROTTERDAM,37.1,4.4,39997.0,Klein,NO DATA,4963.0,16126.0
794,HELMOND,30,NOORD-BRABANT,484830.0,1223600.0,7859.0,19.73291549834647,EINDHOVEN,36.9,3.8,90903.0,Middelgroot,ORANJE,13356.0,44195.0
531,HENDRIK-IDO-AMBACHT,28,ZUID-HOLLAND,166610.0,413820.0,5556.0,18.97218225025246,ROTTERDAM,37.1,4.4,30677.0,Klein,NO DATA,4201.0,12389.0
164,HENGELO,23,OVERIJSSEL,642800.0,1379150.0,1529.0,6.86842741232978,TWENTHE,35.7,3.5,,,GEEL,9984.0,36847.0
796,'S-HERTOGENBOSCH,30,NOORD-BRABANT,985580.0,2318090.0,7887.0,20.46486973402908,HERWIJNEN,37.6,4.1,153434.0,Groot,GEEL,18673.0,66087.0
252,HEUMEN,25,GELDERLAND,199840.0,446440.0,2416.0,15.524795123258194,VOLKEL,37.2,3.7,,,NO DATA,4226.0,16687.0
797,HEUSDEN,30,NOORD-BRABANT,303800.0,695920.0,7913.0,17.74670926259156,HERWIJNEN,37.6,4.1,43723.0,Klein,ORANJE,7156.0,27598.0
534,HILLEGOM,28,ZUID-HOLLAND,241350.0,579530.0,5609.0,14.475478118551935,SCHIPHOL,37.7,5.0,,,NO DATA,4039.0,10746.0
798,HILVARENBEEK,30,NOORD-BRABANT,180860.0,404970.0,7937.0,16.487143830123316,EINDHOVEN,36.9,3.8,,,ORANJE,2799.0,11911.0
402,HILVERSUM,27,NOORD-HOLLAND,571290.0,1028940.0,4346.0,16.153728220375793,DE BILT,36.4,3.6,89521.0,Middelgroot,NO DATA,9280.0,23826.0
1963,HOEKSCHE WAARD,28,ZUID-HOLLAND,523150.0,1183110.0,,,,,,86115.0,Middelgroot,NO DATA,15123.0,47796.0
1735,HOF VAN TWENTE,23,OVERIJSSEL,591770.0,1217830.0,10672.0,18.57328787802796,HUPSEL,   36.3,3.4,34930.0,Klein,GEEL,7437.0,28674.0
1966,HET HOGELAND,20,GRONINGEN,825230.0,1308400.0,,,,,,48019.0,Klein,GEEL,17606.0,57370.0
1911,HOLLANDS KROON,27,NOORD-HOLLAND,495590.0,1045150.0,,,,,,47681.0,Klein,NO DATA,10771.0,38556.0
118,HOOGEVEEN,22,DRENTHE,580470.0,1149120.0,1232.0,5.396157242362325,HOOGEVEEN,36.3,4.0,55677.0,Middelgroot,ROOD,16744.0,53842.0
405,HOORN,27,NOORD-HOLLAND,691140.0,1550880.0,4369.0,5.944139756227819,BERKHOUT,   38.6,,72806.0,Middelgroot,NO DATA,13226.0,37300.0
1507,HORST AAN DE MAAS,31,LIMBURG,658750.0,1453450.0,9412.0,9.53231239754752,ARCEN,35.8,3.1,42271.0,Klein,ROOD,11491.0,48555.0
321,HOUTEN,26,UTRECHT,468510.0,1323260.0,3254.0,10.463169801860529,DE BILT,36.4,3.6,49579.0,Klein,NO DATA,10032.0,31078.0
406,HUIZEN,27,NOORD-HOLLAND,435590.0,857150.0,4398.0,21.8646055466008,DE BILT,36.4,3.6,41369.0,Klein,NO DATA,9570.0,25573.0
677,HULST,29,ZEELAND,518880.0,1026880.0,6915.0,21.760476243206,WESTDORPE,37.7,4.2,,,NO DATA,10085.0,29935.0
353,IJSSELSTEIN,26,UTRECHT,252800.0,626860.0,3590.0,9.618732511764607,CABAUW,      -,4.3,34302.0,Klein,NO DATA,4575.0,14675.0
1884,KAAG EN BRAASSEM,28,ZUID-HOLLAND,298790.0,678600.0,10968.0,14.373443332887096,VOORSCHOTEN,,,,,NO DATA,6381.0,22724.0
166,KAMPEN,23,OVERIJSSEL,408710.0,818230.0,1550.0,15.708216223236592,MARKNESSE,38.2,4.2,53259.0,Middelgroot,ROOD,10609.0,33672.0
678,KAPELLE,29,ZEELAND,84910.0,177910.0,6939.0,26.289816779583035,VLISSINGEN,40.2,6.4,,,NO DATA,4300.0,12903.0
537,KATWIJK,28,ZUID-HOLLAND,440020.0,1017470.0,5638.0,5.416380857705905,VOORSCHOTEN,,,64956.0,Middelgroot,NO DATA,7908.0,22666.0
928,KERKRADE,31,LIMBURG,240670.0,482980.0,8959.0,20.635598415135124,MAASTRICHT,36.1,4.2,45823.0,Klein,WIT,13311.0,43070.0
1598,KOGGENLAND,27,NOORD-HOLLAND,569690.0,1264810.0,9543.0,2.1277554668051057,BERKHOUT,   38.6,,,,NO DATA,5096.0,17627.0
