Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
995,LELYSTAD,24,FLEVOLAND,721630.0,1967790.0,LELYSTAD,37.6,4.4,NO RESTRICTIONS,18866.0,60992.0
1640,LEUDAL,31,LIMBURG,501730.0,1089610.0,MAASTRICHT,36.1,4.2,GEEL,8979.0,39504.0
327,LEUSDEN,26,UTRECHT,345670.0,748960.0,DE BILT,36.4,3.6,NO RESTRICTIONS,6822.0,22724.0
1705,LINGEWAARD,25,GELDERLAND,274670.0,602590.0,DEELEN,35.0,3.8,NO RESTRICTIONS,9638.0,34493.0
553,LISSE,28,ZUID-HOLLAND,262000.0,590660.0,VOORSCHOTEN,,,NO RESTRICTIONS,5328.0,12724.0
262,LOCHEM,25,GELDERLAND,472280.0,896500.0,HUPSEL,   36.3,3.4,NO RESTRICTIONS,8041.0,30242.0
809,LOON OP ZAND,30,NOORD-BRABANT,362660.0,843280.0,GILZE-RIJEN,36.9,3.7,ORANJE,3098.0,11599.0
331,LOPIK,26,UTRECHT,171420.0,380420.0,CABAUW,      -,4.3,NO RESTRICTIONS,2448.0,9226.0
24,LOPPERSUM,20,GRONINGEN,258630.0,404700.0,EELDE,   35.6,4.2,GEEL,4536.0,17710.0
168,LOSSER,23,OVERIJSSEL,210310.0,426170.0,TWENTHE,35.7,3.5,GEEL,4723.0,17848.0
263,MAASDRIEL,25,GELDERLAND,311440.0,678400.0,HERWIJNEN,37.6,4.1,NO RESTRICTIONS,6523.0,22768.0
1641,MAASGOUW,31,LIMBURG,278580.0,547750.0,MAASTRICHT,36.1,4.2,ROOD,6580.0,26106.0
556,MAASSLUIS,28,ZUID-HOLLAND,216070.0,524520.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,2774.0,7996.0
935,MAASTRICHT,31,LIMBURG,535380.0,1063410.0,MAASTRICHT,36.1,4.2,WIT,15204.0,48914.0
420,MEDEMBLIK,27,NOORD-HOLLAND,635230.0,1379320.0,BERKHOUT,   38.6,,NO RESTRICTIONS,11998.0,37299.0
938,MEERSSEN,31,LIMBURG,215560.0,417500.0,MAASTRICHT,36.1,4.2,WIT,4668.0,18729.0
1948,MEIERIJSTAD,30,NOORD-BRABANT,973390.0,2166120.0,,,,ORANJE,18674.0,71632.0
119,MEPPEL,22,DRENTHE,456790.0,938430.0,MARKNESSE,38.2,4.2,ROOD,7478.0,25114.0
687,MIDDELBURG,29,ZEELAND,239730.0,480830.0,VLISSINGEN,40.2,6.4,NO RESTRICTIONS,11616.0,30928.0
1842,MIDDEN-DELFLAND,28,ZUID-HOLLAND,145190.0,308170.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,4850.0,14509.0
1731,MIDDEN-DRENTHE,22,DRENTHE,605140.0,1093740.0,HOOGEVEEN,36.3,4.0,ROOD,12505.0,42912.0
1952,MIDDEN-GRONINGEN,20,GRONINGEN,938150.0,1673030.0,,,,ROOD,19292.0,66631.0
815,MILL EN SINT HUBERT,30,NOORD-BRABANT,202940.0,460840.0,VOLKEL,37.2,3.7,ROOD,2190.0,10410.0
1709,MOERDIJK,30,NOORD-BRABANT,443300.0,1051880.0,GILZE-RIJEN,36.9,3.7,ORANJE,6777.0,24151.0
1978,MOLENLANDEN,28,ZUID-HOLLAND,910680.0,1869380.0,,,,NO RESTRICTIONS,6517.0,23451.0
1955,MONTFERLAND,25,GELDERLAND,310910.0,691750.0,DEELEN,35.0,3.8,NO RESTRICTIONS,9504.0,37957.0
335,MONTFOORT,26,UTRECHT,158470.0,349850.0,CABAUW,      -,4.3,NO RESTRICTIONS,2544.0,8585.0
